factor1,absoluteRange,absoluteColumn,locationID,repId,response
"MON201086,MON101065,MON101082,MON101068",1,1,ARJO,1,167.8861
"MON201085,MON101065,MON101082,MON101068",1,1,ARJO,1,176.1128
"MON201084,MON101065,MON101082,MON101068",1,1,ARJO,1,169.7088
"MON201083,MON101065,MON101082,MON101068",1,1,ARJO,1,178.7334
"MON201082,MON101065,MON101082,MON101068",1,1,ARJO,1,175.6388
"MON201081,MON101065,MON101082,MON101068",1,1,ARJO,1,158.8477
"MON201080,MON101065,MON101082,MON101068",1,1,ARJO,1,164.3321
"MON201079,MON101065,MON101082,MON101068",1,1,ARJO,1,169.3752
"MON201078,MON101065,MON101082,MON101068",1,1,ARJO,1,177.1763
"MON201077,MON101065,MON101082,MON101068",1,1,ARJO,1,147.8346
"MON201076,MON101065,MON101082,MON101068",1,1,ARJO,1,190.6752
"MON201075,MON101065,MON101082,MON101068",1,1,ARJO,1,159.5413
"MON201074,MON101065,MON101082,MON101068",1,1,ARJO,1,182.5387
"MON201073,MON101065,MON101082,MON101068",1,1,ARJO,1,153.4962
"MON201072,MON101065,MON101082,MON101068",1,1,ARJO,1,160.1955
"MON201071,MON101065,MON101082,MON101068",1,1,ARJO,1,151.0973
"MON201070,MON101065,MON101082,MON101068",1,1,ARJO,1,162.5102
"MON201069,MON101065,MON101082,MON101068",1,1,ARJO,1,184.7887
"MON201068,MON101065,MON101082,MON101068",1,1,ARJO,1,159.1039
"MON201067,MON101065,MON101082,MON101068",1,1,ARJO,1,147.7996
"MON201066,MON101065,MON101082,MON101068",1,1,ARJO,1,174.9145
"MON201065,MON101065,MON101082,MON101068",1,1,ARJO,1,166.9556
"MON201064,MON101065,MON101082,MON101068",1,1,ARJO,1,162.9697
"MON201063,MON101065,MON101082,MON101068",1,1,ARJO,1,173.7084
"MON201062,MON101065,MON101082,MON101068",1,1,ARJO,1,136.1775
"MON201061,MON101065,MON101082,MON101068",1,1,ARJO,1,179.0584
"MON201060,MON101065,MON101082,MON101068",1,1,ARJO,1,162.5843
"MON201059,MON101065,MON101082,MON101068",1,1,ARJO,1,168.777
"MON201058,MON101065,MON101082,MON101068",1,1,ARJO,1,182.0442
"MON201057,MON101065,MON101082,MON101068",1,1,ARJO,1,173.974
"MON201056,MON101065,MON101082,MON101068",1,1,ARJO,1,163.1963
"MON201055,MON101065,MON101082,MON101068",1,1,ARJO,1,117.7541
"MON201054,MON101065,MON101082,MON101068",1,1,ARJO,1,175.802
"MON201053,MON101065,MON101082,MON101068",1,1,ARJO,1,157.3818
"MON201052,MON101065,MON101082,MON101068",1,1,ARJO,1,155.7251
"MON201051,MON101065,MON101082,MON101068",1,1,ARJO,1,170.3763
"MON201050,MON101065,MON101082,MON101068",1,1,ARJO,1,163.2772
"MON201049,MON101065,MON101082,MON101068",1,1,ARJO,1,160.5343
"MON201048,MON101065,MON101082,MON101068",1,1,ARJO,1,158.8537
"MON201047,MON101065,MON101082,MON101068",1,1,ARJO,1,164.8419
"MON201046,MON101065,MON101082,MON101068",1,1,ARJO,1,176.0291
"MON201045,MON101065,MON101082,MON101068",1,1,ARJO,1,192.9658
"MON201044,MON101065,MON101082,MON101068",1,1,ARJO,1,178.0596
"MON201043,MON101065,MON101082,MON101068",1,1,ARJO,1,161.4536
"MON201042,MON101065,MON101082,MON101068",1,1,ARJO,1,145.5145
"MON201041,MON101065,MON101082,MON101068",1,1,ARJO,1,173.9239
"MON201040,MON101065,MON101082,MON101068",1,1,ARJO,1,169.0471
"MON201039,MON101065,MON101082,MON101068",1,1,ARJO,1,175.2609
"MON201038,MON101065,MON101082,MON101068",1,1,ARJO,1,179.6883
"MON201037,MON101065,MON101082,MON101068",1,1,ARJO,1,181.7325
"MON201036,MON101065,MON101082,MON101068",1,1,ARJO,1,162.4288
"MON201035,MON101065,MON101082,MON101068",1,1,ARJO,1,156.0521
"MON201034,MON101065,MON101082,MON101068",1,1,ARJO,1,142.7473
"MON201033,MON101065,MON101082,MON101068",1,1,ARJO,1,166.3416
"MON201032,MON101065,MON101082,MON101068",1,1,ARJO,1,163.3237
